
bat,0.25.0
caddy,2.9.1
copyq
doublecmd-gtk
doublecmd-qt
duf,0.8.1
dustracing2d,2.1.1
fail2ban,1.1.0
flameshot,12.1.0
foliate
gh,2.68.1
hugo,0.145.0
hyperfine,1.19.0
i3
inkscape
jc,1.25.4
keepassxc
ksnip,1.10.1
lsd,1.1.5
lutris,0.5.18
manuskript,0.16.1
mediathekview,14.2.0
mergerfs,2.40.2~ubuntu-jammy
micro,2.0.13
minigalaxy,1.3.2
nala
nextcloud-desktop
obs-cli,0.5.0
obs-studio
openrazer-meta
pandoc,3.6.3
papirus-icon-theme
rclone,1.69.1
ripgrep,14.1.1-1
strawberry
syncthing
texworks
weechat
yq
yubikey-manager
